Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed
590,"590.12409","Salmonella enterica SRR2989211","ceftiofur",,"1",,"1","mg/L","broth microdilution",,"Sensititre","Thermo Scientific",,,,,,"Laboratory Method",,"30333126"
590,"590.16511","Salmonella enterica SRR3295930","sulfisoxazole",,"32",,"32","mg/L","broth microdilution",,"Sensititre","Thermo Scientific",,,,,,"Laboratory Method",,"30333126"
590,"590.12353","Salmonella enterica SRR3056908","nalidixic acid",,"4",,"4","mg/L","broth microdilution",,"Sensititre","Thermo Scientific",,,,,,"Laboratory Method",,"30333126"
590,"590.17099","Salmonella enterica SRR3295665","sulfisoxazole",,"32",,"32","mg/L","broth microdilution",,"Sensititre","Thermo Scientific",,,,,,"Laboratory Method",,"30333126"
590,"590.16778","Salmonella enterica SRR3295640","ampicillin",,"<=1","<=","1","mg/L","broth microdilution",,"Sensititre","Thermo Scientific",,,,,,"Laboratory Method",,"30333126"
590,"590.12499","Salmonella enterica SRR2829108","streptomycin",,"8",,"8","mg/L","broth microdilution",,"Sensititre","Thermo Scientific",,,,,,"Laboratory Method",,"30333126"
590,"590.12231","Salmonella enterica SRR3056920","ciprofloxacin",,"<=0.015","<=","0.015","mg/L","broth microdilution",,"Sensititre","Thermo Scientific",,,,,,"Laboratory Method",,"30333126"
590,"590.14071","Salmonella enterica SRR3295747","chloramphenicol",,"=8","=","8","mg/L","broth microdilution",,,"Trek Diagnostics","CLSI",2015,,,,"Laboratory Method","28784677","30333126"
590,"590.16617","Salmonella enterica SRR3295939","tetracycline",,"<=4","<=","4","mg/L","broth microdilution",,"Sensititre","Thermo Scientific",,,,,,"Laboratory Method",,"30333126"
590,"590.17164","Salmonella enterica SRR3295670","amoxicillin/clavulanic acid",,"<=1","<=","1","mg/L","broth microdilution",,,"Trek Diagnostics","CLSI",2015,,,,"Laboratory Method","28784677","30333126"
590,"590.15082","Salmonella enterica SRR3295825","gentamicin",,"=0.5","=","0.5","mg/L","broth microdilution",,,"Trek Diagnostics","CLSI",2015,,,,"Laboratory Method","28784677","30333126"
590,"590.15371","Salmonella enterica SRR3295847","tetracycline",,">32",">","32","mg/L","broth microdilution",,,"Trek Diagnostics","CLSI",2015,,,,"Laboratory Method","28784677","30333126"
590,"590.15453","Salmonella enterica SRR3295852","chloramphenicol",,"4",,"4","mg/L","broth microdilution",,"Sensititre","Thermo Scientific",,,,,,"Laboratory Method",,"30333126"
590,"590.12393","Salmonella enterica SRR2989193","tetracycline",,">32",">","32","mg/L","broth microdilution",,"Sensititre","Thermo Scientific",,,,,,"Laboratory Method",,"30333126"
590,"590.12064","Salmonella enterica SRR3295699","chloramphenicol",,"=8","=","8","mg/L","broth microdilution",,,"Trek Diagnostics","CLSI",2015,,,,"Laboratory Method","28784677","30333126"
590,"590.11962","Salmonella enterica SRR3295681","gentamicin",,"0.5",,"0.5","mg/L","broth microdilution",,"Sensititre","Thermo Scientific",,,,,,"Laboratory Method",,"30333126"
590,"590.15157","Salmonella enterica SRR3295831","amoxicillin/clavulanic acid",,"<=1","<=","1","mg/L","broth microdilution",,,"Trek Diagnostics","CLSI",2015,,,,"Laboratory Method","28784677","30333126"
590,"590.12557","Salmonella enterica SRR3098265","ceftiofur",,"1",,"1","mg/L","broth microdilution",,"Sensititre","Thermo Scientific",,,,,,"Laboratory Method",,"30333126"
590,"590.12552","Salmonella enterica SRR3098259","ceftriaxone",,"<=0.25","<=","0.25","mg/L","broth microdilution",,"Sensititre","Thermo Scientific",,,,,,"Laboratory Method",,"30333126"
590,"590.12442","Salmonella enterica SRR3038514","sulfisoxazole",,">256",">","256","mg/L","broth microdilution",,"Sensititre","Thermo Scientific",,,,,,"Laboratory Method",,"30333126"
590,"590.12391","Salmonella enterica SRR2989168","ceftriaxone",,"64",,"64","mg/L","broth microdilution",,"Sensititre","Thermo Scientific",,,,,,"Laboratory Method",,"30333126"
590,"590.15347","Salmonella enterica SRR3295845","chloramphenicol",,"=4","=","4","mg/L","broth microdilution",,,"Trek Diagnostics","CLSI",2015,,,,"Laboratory Method","28784677","30333126"
590,"590.16787","Salmonella enterica SRR3295641","ceftiofur",,"1",,"1","mg/L","broth microdilution",,"Sensititre","Thermo Scientific",,,,,,"Laboratory Method",,"30333126"
590,"590.15913","Salmonella enterica SRR3295886","cefoxitin",,"=2","=","2","mg/L","broth microdilution",,,"Trek Diagnostics","CLSI",2015,,,,"Laboratory Method","28784677","30333126"
590,"590.14480","Salmonella enterica SRR3295780","tetracycline",,">32",">","32","mg/L","broth microdilution",,,"Trek Diagnostics","CLSI",2015,,,,"Laboratory Method","28784677","30333126"
590,"590.14959","Salmonella enterica SRR3295815","tetracycline",,">32",">","32","mg/L","broth microdilution",,"Sensititre","Thermo Scientific",,,,,,"Laboratory Method",,"30333126"
590,"590.12264","Salmonella enterica SRR2227999","sulfisoxazole",,"32",,"32","mg/L","broth microdilution",,"Sensititre","Thermo Scientific",,,,,,"Laboratory Method",,"30333126"
590,"590.12357","Salmonella enterica SRR2550696","cefoxitin",,"2",,"2","mg/L","broth microdilution",,"Sensititre","Thermo Scientific",,,,,,"Laboratory Method",,"30333126"
590,"590.12572","Salmonella enterica SRR3085527","tetracycline",,"<=4","<=","4","mg/L","broth microdilution",,"Sensititre","Thermo Scientific",,,,,,"Laboratory Method",,"30333126"
